open,close,high,low,volume,time
0.2799,0.2814,0.2818,0.2792,518151.00,1706313600000
0.2806,0.2800,0.2810,0.2792,938446.00,1706310000000
0.2807,0.2805,0.2812,0.2789,673755.00,1706306400000
0.2795,0.2807,0.2815,0.2783,359242.00,1706302800000
0.2817,0.2794,0.2830,0.2787,211039.00,1706299200000
0.2822,0.2817,0.2833,0.2810,206289.00,1706295600000
0.2799,0.2821,0.2829,0.2798,318800.00,1706292000000
0.2808,0.2800,0.2811,0.2787,1036742.00,1706288400000
0.2798,0.2807,0.2818,0.2795,332867.00,1706284800000
0.2797,0.2798,0.2802,0.2785,307977.00,1706281200000
0.2778,0.2798,0.2798,0.2776,335716.00,1706277600000
0.2789,0.2778,0.2820,0.2765,538300.00,1706274000000
0.2795,0.2790,0.2803,0.2773,348238.00,1706270400000
0.2797,0.2795,0.2810,0.2783,420428.00,1706266800000
0.2741,0.2796,0.2799,0.2722,1185752.00,1706263200000
0.2759,0.2742,0.2775,0.2738,389229.00,1706259600000
0.2702,0.2758,0.2766,0.2701,862585.00,1706256000000
0.2692,0.2701,0.2707,0.2677,709085.00,1706252400000
0.2702,0.2691,0.2721,0.2688,1084206.00,1706248800000
0.2692,0.2701,0.2708,0.2679,176253.00,1706245200000
0.2686,0.2692,0.2707,0.2683,347847.00,1706241600000
0.2680,0.2686,0.2694,0.2677,2194890.00,1706238000000
0.2661,0.2680,0.2688,0.2656,415170.00,1706234400000
0.2637,0.2662,0.2666,0.2621,253291.00,1706230800000
0.2643,0.2637,0.2647,0.2620,387852.00,1706227200000
0.2652,0.2643,0.2656,0.2634,161048.00,1706223600000
0.2650,0.2653,0.2659,0.2638,128419.00,1706220000000
0.2653,0.2652,0.2668,0.2640,330880.00,1706216400000
0.2647,0.2652,0.2656,0.2636,638766.00,1706212800000
0.2627,0.2647,0.2660,0.2622,244199.00,1706209200000
0.2617,0.2628,0.2650,0.2611,460010.00,1706205600000
0.2583,0.2617,0.2619,0.2572,272633.00,1706202000000
0.2609,0.2584,0.2617,0.2581,692555.00,1706198400000
0.2636,0.2609,0.2640,0.2600,680124.00,1706194800000
0.2623,0.2637,0.2645,0.2612,258697.00,1706191200000
0.2627,0.2623,0.2641,0.2608,324534.00,1706187600000
0.2664,0.2626,0.2672,0.2608,460428.00,1706184000000
0.2667,0.2664,0.2681,0.2654,239515.00,1706180400000
0.2652,0.2667,0.2670,0.2635,257541.00,1706176800000
0.2666,0.2651,0.2687,0.2649,194862.00,1706173200000
0.2670,0.2667,0.2678,0.2657,241527.00,1706169600000
0.2667,0.2670,0.2674,0.2655,646149.00,1706166000000
0.2648,0.2668,0.2668,0.2637,465399.00,1706162400000
0.2663,0.2647,0.2664,0.2632,254577.00,1706158800000
0.2667,0.2665,0.2678,0.2652,571799.00,1706155200000
0.2658,0.2667,0.2680,0.2656,212568.00,1706151600000
0.2664,0.2658,0.2679,0.2650,191955.00,1706148000000
0.2702,0.2664,0.2703,0.2660,275838.00,1706144400000
0.2708,0.2702,0.2709,0.2689,235272.00,1706140800000
0.2689,0.2707,0.2717,0.2688,201804.00,1706137200000
0.2677,0.2688,0.2694,0.2673,178174.00,1706133600000
0.2657,0.2678,0.2686,0.2657,273987.00,1706130000000
0.2680,0.2659,0.2698,0.2653,260526.00,1706126400000
0.2681,0.2681,0.2688,0.2664,217995.00,1706122800000
0.2705,0.2682,0.2709,0.2657,624829.00,1706119200000
0.2712,0.2705,0.2719,0.2697,462568.00,1706115600000
0.2676,0.2713,0.2718,0.2655,676380.00,1706112000000
0.2641,0.2676,0.2696,0.2632,725297.00,1706108400000
0.2634,0.2641,0.2668,0.2619,771477.00,1706104800000
0.2648,0.2633,0.2656,0.2617,986767.00,1706101200000
0.2679,0.2647,0.2693,0.2646,1448977.00,1706097600000
0.2707,0.2679,0.2710,0.2669,260848.00,1706094000000
0.2688,0.2708,0.2724,0.2681,806746.00,1706090400000
0.2686,0.2688,0.2701,0.2671,217787.00,1706086800000
0.2688,0.2685,0.2705,0.2669,360632.00,1706083200000
0.2678,0.2688,0.2708,0.2663,341927.00,1706079600000
0.2658,0.2677,0.2680,0.2638,378218.00,1706076000000
0.2643,0.2659,0.2670,0.2642,131793.00,1706072400000
0.2651,0.2642,0.2666,0.2642,208792.00,1706068800000
0.2662,0.2652,0.2671,0.2645,140214.00,1706065200000
0.2668,0.2662,0.2683,0.2654,157418.00,1706061600000
0.2730,0.2668,0.2730,0.2667,321561.00,1706058000000
0.2685,0.2730,0.2731,0.2663,417209.00,1706054400000
0.2641,0.2684,0.2690,0.2641,601875.00,1706050800000
0.2625,0.2642,0.2655,0.2616,252323.00,1706047200000
0.2612,0.2626,0.2630,0.2594,983230.00,1706043600000
0.2604,0.2613,0.2634,0.2601,287867.00,1706040000000
0.2611,0.2604,0.2632,0.2600,751594.00,1706036400000
0.2631,0.2611,0.2660,0.2610,749365.00,1706032800000
0.2626,0.2631,0.2649,0.2618,1472404.00,1706029200000
0.2605,0.2624,0.2633,0.2595,726345.00,1706025600000
0.2577,0.2605,0.2631,0.2576,1386232.00,1706022000000
0.2577,0.2577,0.2595,0.2537,2376343.00,1706018400000
0.2629,0.2578,0.2629,0.2574,353407.00,1706014800000
0.2595,0.2629,0.2636,0.2591,853062.00,1706011200000
0.2578,0.2596,0.2600,0.2568,776176.00,1706007600000
0.2597,0.2579,0.2630,0.2576,915200.00,1706004000000
0.2693,0.2598,0.2705,0.2577,3436768.00,1706000400000
0.2774,0.2693,0.2787,0.2664,1556544.00,1705996800000
0.2829,0.2774,0.2843,0.2761,431969.00,1705993200000
0.2842,0.2830,0.2850,0.2822,113683.00,1705989600000
0.2837,0.2840,0.2857,0.2828,337381.00,1705986000000
0.2848,0.2837,0.2863,0.2831,170423.00,1705982400000
0.2859,0.2847,0.2871,0.2835,185507.00,1705978800000
0.2808,0.2858,0.2860,0.2799,158192.00,1705975200000
0.2802,0.2807,0.2820,0.2782,176392.00,1705971600000
0.2815,0.2801,0.2829,0.2762,342286.00,1705968000000
0.2841,0.2816,0.2857,0.2803,375292.00,1705964400000
0.2832,0.2841,0.2865,0.2809,564021.00,1705960800000
0.2868,0.2831,0.2870,0.2829,350459.00,1705957200000
0.2783,0.2869,0.2883,0.2778,624116.00,1705953600000
0.2831,0.2784,0.2847,0.2726,1575655.00,1705950000000
0.2818,0.2830,0.2842,0.2790,861715.00,1705946400000
0.2809,0.2819,0.2831,0.2794,664688.00,1705942800000
0.2836,0.2809,0.2865,0.2797,1840365.00,1705939200000
0.2834,0.2836,0.2841,0.2776,743583.00,1705935600000
0.2881,0.2835,0.2886,0.2799,418725.00,1705932000000
0.2889,0.2882,0.2923,0.2867,364907.00,1705928400000
0.2840,0.2890,0.2899,0.2826,527082.00,1705924800000
0.2811,0.2841,0.2846,0.2807,557700.00,1705921200000
0.2796,0.2810,0.2824,0.2770,623166.00,1705917600000
0.2829,0.2796,0.2848,0.2782,873686.00,1705914000000
0.2862,0.2827,0.2865,0.2805,411580.00,1705910400000
0.2901,0.2863,0.2901,0.2852,253601.00,1705906800000
0.2913,0.2900,0.2918,0.2890,314925.00,1705903200000
0.2838,0.2914,0.2914,0.2821,536468.00,1705899600000
0.2880,0.2838,0.2886,0.2837,523267.00,1705896000000
0.2857,0.2880,0.2893,0.2850,434669.00,1705892400000
0.2858,0.2857,0.2902,0.2830,543093.00,1705888800000
0.2918,0.2858,0.2932,0.2851,788870.00,1705885200000
0.2918,0.2917,0.2943,0.2892,312992.00,1705881600000
0.2937,0.2917,0.2947,0.2906,198411.00,1705878000000
0.2962,0.2936,0.2969,0.2920,436239.00,1705874400000
0.2940,0.2963,0.2965,0.2936,371909.00,1705870800000
0.2969,0.2940,0.2970,0.2936,432074.00,1705867200000
0.2966,0.2970,0.2972,0.2959,106432.00,1705863600000
0.2962,0.2966,0.2971,0.2955,183969.00,1705860000000
0.2951,0.2961,0.2962,0.2943,719096.00,1705856400000
0.2954,0.2950,0.2977,0.2934,925609.00,1705852800000
0.2966,0.2953,0.2979,0.2948,570723.00,1705849200000
0.2976,0.2966,0.2978,0.2954,282551.00,1705845600000
0.2942,0.2976,0.2979,0.2939,427883.00,1705842000000
0.2930,0.2942,0.2948,0.2926,199388.00,1705838400000
0.2954,0.2930,0.2956,0.2924,269494.00,1705834800000
0.2953,0.2956,0.2956,0.2939,292417.00,1705831200000
0.2924,0.2954,0.2954,0.2923,193278.00,1705827600000
0.2939,0.2924,0.2949,0.2920,166487.00,1705824000000
0.2926,0.2939,0.2943,0.2914,145529.00,1705820400000
0.2935,0.2925,0.2943,0.2917,194476.00,1705816800000
0.2943,0.2935,0.2949,0.2923,156751.00,1705813200000
0.2961,0.2944,0.2963,0.2933,168314.00,1705809600000
0.2952,0.2962,0.2982,0.2950,302089.00,1705806000000
0.2929,0.2952,0.2953,0.2925,200646.00,1705802400000
0.2923,0.2928,0.2956,0.2917,346904.00,1705798800000
0.2951,0.2924,0.2956,0.2916,265978.00,1705795200000
0.2950,0.2950,0.2953,0.2936,185755.00,1705791600000
0.2939,0.2951,0.2957,0.2937,260384.00,1705788000000
0.2940,0.2940,0.2968,0.2937,257991.00,1705784400000
0.2946,0.2941,0.2958,0.2932,288497.00,1705780800000
